FECHA_CREACION,GENERO_1,GENERO_2,FECHA_MATRIMONIO
16SEP2019:08:37:32,Masculino,Femenino,27OCT2004:00:00:00
16SEP2019:08:39:43,Masculino,Femenino,01AUG2003:00:00:00
16SEP2019:08:42:49,Masculino,Femenino,07APR2003:00:00:00
16SEP2019:08:47:02,Masculino,Femenino,06JAN2005:00:00:00
16SEP2019:08:53:57,No declara,No declara,07DEC1988:00:00:00
16SEP2019:09:09:12,Masculino,Femenino,08JAN2016:00:00:00
16SEP2019:09:02:17,Masculino,Femenino,02MAY1974:00:00:00
16SEP2019:09:08:52,Masculino,Femenino,24FEB2000:00:00:00
16SEP2019:09:10:42,Masculino,Femenino,16DEC1994:00:00:00
16SEP2019:09:14:42,Masculino,Femenino,24OCT1996:00:00:00
16SEP2019:09:21:26,Masculino,Femenino,27SEP1973:00:00:00
16SEP2019:09:25:21,Masculino,Femenino,03APR2013:00:00:00
16SEP2019:09:27:57,No declara,No declara,18MAY1989:00:00:00
16SEP2019:09:34:34,Femenino,Masculino,08JAN2011:00:00:00
16SEP2019:09:38:33,Masculino,,27DEC2012:00:00:00
16SEP2019:09:46:19,Masculino,Femenino,10JUL1998:00:00:00
16SEP2019:09:51:31,Masculino,Femenino,20NOV2009:00:00:00
16SEP2019:09:54:39,No declara,No declara,02MAR1990:00:00:00
16SEP2019:10:05:14,Masculino,No declara,15DEC1995:00:00:00
16SEP2019:10:21:21,Masculino,Femenino,20SEP2013:00:00:00
16SEP2019:10:28:28,Masculino,Femenino,08MAY1998:00:00:00
16SEP2019:10:30:30,Masculino,Femenino,07MAR2006:00:00:00
16SEP2019:10:34:35,Masculino,Femenino,06OCT2010:00:00:00
16SEP2019:10:45:03,Masculino,Femenino,01SEP2006:00:00:00
16SEP2019:10:59:35,Masculino,Femenino,23SEP2004:00:00:00
16SEP2019:11:23:39,Masculino,Femenino,06JUL2010:00:00:00
16SEP2019:13:30:26,Masculino,Femenino,15APR1971:00:00:00
16SEP2019:14:22:06,Masculino,Femenino,20AUG1971:00:00:00
16SEP2019:14:30:38,Masculino,Femenino,13JUL2016:00:00:00
16SEP2019:14:43:44,Masculino,Femenino,19OCT2001:00:00:00
16SEP2019:14:56:58,Masculino,Femenino,13FEB2009:00:00:00
16SEP2019:15:04:56,Masculino,Femenino,03APR2009:00:00:00
16SEP2019:15:27:31,Masculino,Femenino,22APR1998:00:00:00
17SEP2019:07:35:53,Masculino,Masculino,14FEB2019:00:00:00
17SEP2019:07:21:07,Masculino,Femenino,01JUL1999:00:00:00
17SEP2019:07:30:51,Masculino,Femenino,28DEC1990:00:00:00
17SEP2019:07:39:46,Masculino,Femenino,11NOV2009:00:00:00
17SEP2019:07:48:27,Masculino,Femenino,14JAN2000:00:00:00
17SEP2019:07:53:35,Masculino,Femenino,06SEP1996:00:00:00
17SEP2019:08:04:01,Masculino,Femenino,18FEB1997:00:00:00
17SEP2019:08:09:18,No declara,No declara,21AUG1992:00:00:00
17SEP2019:08:19:58,Masculino,Femenino,06APR1999:00:00:00
17SEP2019:08:37:11,Masculino,Femenino,06JUN2017:00:00:00
17SEP2019:08:44:17,Masculino,Femenino,09APR1976:00:00:00
17SEP2019:08:52:18,Masculino,Femenino,17MAY2002:00:00:00
17SEP2019:09:11:35,Masculino,Femenino,08AUG2012:00:00:00
17SEP2019:09:22:16,No declara,No declara,17MAY1996:00:00:00
17SEP2019:09:34:09,Masculino,No declara,21SEP1987:00:00:00
17SEP2019:09:34:21,Masculino,Femenino,26SEP1980:00:00:00
